Source,source_slug,Opération,Méthode,Endpoint,Paramètre,Emplacement,Type,Obligatoire,Contrôle recommandé,Classe d’accès,Description officielle / synthèse,readonly,supported,sensitive,origin,documentation_url,default,enum,minimum,maximum,pattern
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,accept_language,configuration globale,string,False,liste de sélection,modifiable,,False,True,False,source_registry:global,https://api.dhsprogram.com/,en,"['en', 'fr', 'es', 'ar', 'zh']",,,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,api_resource,configuration globale,string,False,information en lecture seule,information,,True,False,False,source_registry:global,https://api.dhsprogram.com/,indicators,['indicators'],,,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,backoff_seconds,configuration globale,integer,False,champ numérique,modifiable,,False,True,False,source_registry:global,https://api.dhsprogram.com/,2,,1,60,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,connect_timeout_seconds,configuration globale,integer,False,champ numérique,modifiable,Délai maximal consacré à l’établissement de la connexion HTTPS.,False,True,False,source_registry:global,https://api.dhsprogram.com/,20,,3,60,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,data_scope,configuration globale,string,False,information en lecture seule,information,Le connecteur n’accède jamais aux microdonnées individuelles.,True,False,False,source_registry:global,https://api.dhsprogram.com/,aggregate_indicators,['aggregate_indicators'],,,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,enabled,configuration globale,boolean,False,case à cocher,modifiable,,False,True,False,source_registry:global,https://api.dhsprogram.com/,True,,,,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,max_response_bytes,configuration globale,integer,False,champ numérique,modifiable,"La réponse JSON est refusée au-delà de cette limite, avant décodage.",False,True,False,source_registry:global,https://api.dhsprogram.com/,25000000,,100000,200000000,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,retry_count,configuration globale,integer,False,champ numérique,modifiable,,False,True,False,source_registry:global,https://api.dhsprogram.com/,2,,0,5,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,timeout_seconds,configuration globale,integer,False,champ numérique,modifiable,,False,True,False,source_registry:global,https://api.dhsprogram.com/,40,,5,180,
DHS Program Indicator Data,dhs,Configuration globale HDP,CONFIG,https://api.dhsprogram.com/rest/dhs/indicators,user_agent,configuration globale,string,False,champ texte / mots-clés,modifiable,Identifie clairement le client HDP auprès du fournisseur de données.,False,True,False,source_registry:global,https://api.dhsprogram.com/,HDP/6.0.0,,,,
